 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     1      0.368971200000E+08      0.198900000000E+34      0.230273560769E+14      0.191029664286E+14      0.126797439301E+07     -0.152845884308E+07     -0.101452655135E+00     -0.841627957049E-01
     1      0.375278400000E+08      0.198900000000E+34      0.238066829193E+14      0.181224805832E+14      0.120289387541E+07     -0.158018727419E+07     -0.104886170373E+00     -0.798430252750E-01
     1      0.381585600000E+08      0.198900000000E+34      0.245442913273E+14      0.171102372049E+14      0.113570542660E+07     -0.162914661145E+07     -0.108135884835E+00     -0.753833392548E-01
     1      0.387892800000E+08      0.198900000000E+34      0.252388887280E+14      0.160680101319E+14      0.106652678651E+07     -0.167525105935E+07     -0.111196103775E+00     -0.707915527238E-01
     1      0.394200000000E+08      0.198900000000E+34      0.258892579207E+14      0.149976257458E+14      0.995479182640E+06     -0.171841982522E+07     -0.114061464514E+00     -0.660757122523E-01
     1      0.400507200000E+08      0.198900000000E+34      0.264942592092E+14      0.139009597701E+14      0.922687117616E+06     -0.175857726082E+07     -0.116726945843E+00     -0.612440818007E-01
     1      0.406814400000E+08      0.198900000000E+34      0.270528323992E+14      0.127799339842E+14      0.848278151046E+06     -0.179565299494E+07     -0.119187876817E+00     -0.563051282377E-01
     1      0.413121600000E+08      0.198900000000E+34      0.275639986565E+14      0.116365128548E+14      0.772382675964E+06     -0.182958205667E+07     -0.121439944940E+00     -0.512675065034E-01
     1      0.419428800000E+08      0.198900000000E+34      0.280268622217E+14      0.104727000942E+14      0.695133690335E+06     -0.186030498929E+07     -0.123479203725E+00     -0.461400444425E-01
     1      0.425736000000E+08      0.198900000000E+34      0.284406119805E+14      0.929053514846E+13      0.616666563996E+06     -0.188776795445E+07     -0.125302079611E+00     -0.409317273340E-01
     1      0.432043200000E+08      0.198900000000E+34      0.288045228846E+14      0.809208962368E+13      0.537118801432E+06     -0.191192282650E+07     -0.126905378217E+00     -0.356516821464E-01
     1      0.438350400000E+08      0.198900000000E+34      0.291179572227E+14      0.687946365586E+13      0.456629800820E+06     -0.193272727684E+07     -0.128286289952E+00     -0.303091615431E-01
     1      0.444657600000E+08      0.198900000000E+34      0.293803657377E+14      0.565478223053E+13      0.375340609742E+06     -0.195014484810E+07     -0.129442394928E+00     -0.249135276684E-01
     1      0.450964800000E+08      0.198900000000E+34      0.295912885892E+14      0.442019145903E+13      0.293393678026E+06     -0.196414501801E+07     -0.130371667205E+00     -0.194742357415E-01
     1      0.457272000000E+08      0.198900000000E+34      0.297503561595E+14      0.317785481766E+13      0.210932608109E+06     -0.197470325292E+07     -0.131072478343E+00     -0.140008174870E-01
     1      0.463579200000E+08      0.198900000000E+34      0.298572897013E+14      0.192994935644E+13      0.128101903398E+06     -0.198180105075E+07     -0.131543600251E+00     -0.850286443237E-02
     1      0.469886400000E+08      0.198900000000E+34      0.299119018260E+14      0.678661884127E+12      0.450467150422E+05     -0.198542597342E+07     -0.131784207343E+00     -0.299001109906E-02
     1      0.476193600000E+08      0.198900000000E+34      0.299140968322E+14     -0.573814863964E+12     -0.380874124293E+05     -0.198557166870E+07     -0.131793877984E+00      0.252808188029E-02
     1      0.482500800000E+08      0.198900000000E+34      0.298638708735E+14     -0.182528606844E+13     -0.121154796155E+06     -0.198223788126E+07     -0.131572595226E+00      0.804174469120E-02
     1      0.488808000000E+08      0.198900000000E+34      0.297613119649E+14     -0.307355867202E+13     -0.204009870234E+06     -0.197543045318E+07     -0.131120746843E+00      0.135413152826E-01
     1      0.495115200000E+08      0.198900000000E+34      0.296065998291E+14     -0.431644522258E+13     -0.286507440814E+06     -0.196516131368E+07     -0.130439124644E+00      0.190171562982E-01
     1      0.501422400000E+08      0.198900000000E+34      0.294000055809E+14     -0.555176770643E+13     -0.368502940524E+06     -0.195144845823E+07     -0.129528923095E+00      0.244596719653E-01
     1      0.507729600000E+08      0.198900000000E+34      0.291418912526E+14     -0.677736136504E+13     -0.449852681817E+06     -0.193431591701E+07     -0.128391737216E+00      0.298593249099E-01
     1      0.514036800000E+08      0.198900000000E+34      0.288327091596E+14     -0.799107848849E+13     -0.530414108758E+06     -0.191379371281E+07     -0.127029559795E+00      0.352066528697E-01
     1      0.520344000000E+08      0.198900000000E+34      0.284730011074E+14     -0.919079217911E+13     -0.610046046845E+06     -0.188991780838E+07     -0.125444777887E+00      0.404922852762E-01
     1      0.526651200000E+08      0.198900000000E+34      0.280633974424E+14     -0.103744000786E+14     -0.688608950395E+06     -0.186273004348E+07     -0.123640168638E+00      0.457069596750E-01
     1      0.532958400000E+08      0.198900000000E+34      0.276046159472E+14     -0.115398280523E+14     -0.765965147084E+06     -0.183227806148E+07     -0.121618894417E+00      0.508415379573E-01
     1      0.539265600000E+08      0.198900000000E+34      0.270974605830E+14     -0.126850338235E+14     -0.841979079199E+06     -0.179861522593E+07     -0.119384497269E+00      0.558870223734E-01
     1      0.545572800000E+08      0.198900000000E+34      0.265428200802E+14     -0.138080105527E+14     -0.916517541193E+06     -0.176180052703E+07     -0.116940892717E+00      0.608345713004E-01
     1      0.551880000000E+08      0.198900000000E+34      0.259416663817E+14     -0.149067903544E+14     -0.989449913106E+06     -0.172189847825E+07     -0.114292362891E+00      0.656755147358E-01
     1      0.558187200000E+08      0.198900000000E+34      0.252950529392E+14     -0.159794477449E+14     -0.106064838946E+07     -0.167897900326E+07     -0.111443549032E+00      0.704013694909E-01
     1      0.564494400000E+08      0.198900000000E+34      0.246041128674E+14     -0.170241030174E+14     -0.112998820324E+07     -0.163311731345E+07     -0.108399443354E+00      0.750038540563E-01
     1      0.570801600000E+08      0.198900000000E+34      0.238700569581E+14     -0.180389255354E+14     -0.119734784450E+07     -0.158439377608E+07     -0.105165380297E+00      0.794749031148E-01
     1      0.577108800000E+08      0.198900000000E+34      0.230941715588E+14     -0.190221369409E+14     -0.126260927334E+07     -0.153289377346E+07     -0.101747027180E+00      0.838066816743E-01
     1      0.583416000000E+08      0.198900000000E+34      0.222778163179E+14     -0.199720142705E+14     -0.132565812671E+07     -0.147870755335E+07     -0.981503742685E-01      0.879915987983E-01
     1      0.589723200000E+08      0.198900000000E+34      0.214224218030E+14     -0.208868929751E+14     -0.138638391885E+07     -0.142193007077E+07     -0.943817242766E-01      0.920223209078E-01
     1      0.596030400000E+08      0.198900000000E+34      0.205294869930E+14     -0.217651698365E+14     -0.144468023489E+07     -0.136266082164E+07     -0.904476813245E-01      0.958917846324E-01
     1      0.602337600000E+08      0.198900000000E+34      0.196005766521E+14     -0.226053057769E+14     -0.150044491736E+07     -0.130100366841E+07     -0.863551393637E-01      0.995932091884E-01
     1      0.608644800000E+08      0.198900000000E+34      0.186373185872E+14     -0.234058285561E+14     -0.155358024513E+07     -0.123706665804E+07     -0.821112700970E-01      0.103120108261E+00
     1      0.614952000000E+08      0.198900000000E+34      0.176414007959E+14     -0.241653353514E+14     -0.160399310476E+07     -0.117096183270E+07     -0.777235104103E-01      0.106466301372E+00
     1      0.621259200000E+08      0.198900000000E+34      0.166145685078E+14     -0.248824952157E+14     -0.165159515358E+07     -0.110280503337E+07     -0.731995493410E-01      0.109625924707E+00
     1      0.627566400000E+08      0.198900000000E+34      0.155586211267E+14     -0.255560514101E+14     -0.169630297457E+07     -0.103271569690E+07     -0.685473146033E-01      0.112593441396E+00
     1      0.633873600000E+08      0.198900000000E+34      0.144754090772E+14     -0.261848236058E+14     -0.173803822248E+07     -0.960816646678E+06     -0.637749586961E-01      0.115363651212E+00
     1      0.640180800000E+08      0.198900000000E+34      0.133668305621E+14     -0.267677099531E+14     -0.177672776117E+07     -0.887233877397E+06     -0.588908446166E-01      0.117931699685E+00
     1      0.646488000000E+08      0.198900000000E+34      0.122348282359E+14     -0.273036890115E+14     -0.181230379172E+07     -0.812096334279E+06     -0.539035312052E-01      0.120293086611E+00
     1      0.652795200000E+08      0.198900000000E+34      0.110813858006E+14     -0.277918215404E+14     -0.184470397131E+07     -0.735535687105E+06     -0.488217581471E-01      0.122443673935E+00
     1      0.659102400000E+08      0.198900000000E+34      0.990852452953E+13     -0.282312521445E+14     -0.187387152239E+07     -0.657686099479E+06     -0.436544306568E-01      0.124379693003E+00
     1      0.665409600000E+08      0.198900000000E+34      0.871829972524E+13     -0.286212107728E+14     -0.189975533224E+07     -0.578683993720E+06     -0.384106038731E-01      0.126097751168E+00
     1      0.671716800000E+08      0.198900000000E+34      0.751279711784E+13     -0.289610140684E+14     -0.192231004250E+07     -0.498667811804E+06     -0.330994669909E-01      0.127594837734E+00
