 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     1      0.567651153599E+08      0.198900000000E+34      0.242521202700E+14     -0.175309006940E+14     -0.116321776572E+07     -0.160937964603E+07     -0.106792216182E+00      0.771958787908E-01
     1      0.573958353599E+08      0.198900000000E+34      0.234974418027E+14     -0.185303281411E+14     -0.122953568681E+07     -0.155929639013E+07     -0.103468182379E+00      0.815960898099E-01
     1      0.580265553599E+08      0.198900000000E+34      0.227016082205E+14     -0.194973016350E+14     -0.129369965848E+07     -0.150648249961E+07     -0.999629945204E-01      0.858533297541E-01
     1      0.586572753599E+08      0.198900000000E+34      0.218660136750E+14     -0.204301278307E+14     -0.135559734310E+07     -0.145103051127E+07     -0.962827954367E-01      0.899601476473E-01
     1      0.592879953599E+08      0.198900000000E+34      0.209921219299E+14     -0.213271732118E+14     -0.141512037451E+07     -0.139303757897E+07     -0.924340340670E-01      0.939093561763E-01
     1      0.599187153599E+08      0.198900000000E+34      0.200814637958E+14     -0.221868669500E+14     -0.147216454758E+07     -0.133260530330E+07     -0.884234541559E-01      0.976940442474E-01
     1      0.605494353599E+08      0.198900000000E+34      0.191356344478E+14     -0.230077036532E+14     -0.152663000038E+07     -0.126983955361E+07     -0.842580824332E-01      0.101307589059E+00
     1      0.611801553599E+08      0.198900000000E+34      0.181562906309E+14     -0.237882460004E+14     -0.157842138889E+07     -0.120485028242E+07     -0.799452163005E-01      0.104743667667E+00
     1      0.618108753599E+08      0.198900000000E+34      0.171451477575E+14     -0.245271272565E+14     -0.162744805368E+07     -0.113775133286E+07     -0.754924110473E-01      0.107996268031E+00
     1      0.624415953599E+08      0.198900000000E+34      0.161039769022E+14     -0.252230536634E+14     -0.167362417839E+07     -0.106866023918E+07     -0.709074666170E-01      0.111059699506E+00
     1      0.630723153599E+08      0.198900000000E+34      0.150346016997E+14     -0.258748067040E+14     -0.171686893981E+07     -0.997698020929E+06     -0.661984139468E-01      0.113928602779E+00
     1      0.637030353599E+08      0.198900000000E+34      0.139388951500E+14     -0.264812452336E+14     -0.175710664909E+07     -0.924988970947E+06     -0.613735009064E-01      0.116597959226E+00
     1      0.643337553599E+08      0.198900000000E+34      0.128187763384E+14     -0.270413074763E+14     -0.179426688411E+07     -0.850660437736E+06     -0.564411778579E-01      0.119063099666E+00
     1      0.649644753599E+08      0.198900000000E+34      0.116762070743E+14     -0.275540128821E+14     -0.182828461249E+07     -0.774842602436E+06     -0.514100828643E-01      0.121319712515E+00
     1      0.655951953599E+08      0.198900000000E+34      0.105131884551E+14     -0.280184638419E+14     -0.185910030526E+07     -0.697668250884E+06     -0.462890265709E-01      0.123363851299E+00
     1      0.662259153599E+08      0.198900000000E+34      0.933175736232E+13     -0.284338472574E+14     -0.188666004085E+07     -0.619272541128E+06     -0.410869767868E-01      0.125191941546E+00
     1      0.668566353599E+08      0.198900000000E+34      0.813398289426E+13     -0.287994359629E+14     -0.191091559930E+07     -0.539792766795E+06     -0.358130427931E-01      0.126800787015E+00
     1      0.674873553599E+08      0.198900000000E+34      0.692196274301E+13     -0.291145899966E+14     -0.193182454644E+07     -0.459368116747E+06     -0.304764594051E-01      0.128187575269E+00
     1      0.681180753599E+08      0.198900000000E+34      0.569781952131E+13     -0.293787577194E+14     -0.194935030806E+07     -0.378139431423E+06     -0.250865708164E-01      0.129349882577E+00
     1      0.687487953599E+08      0.198900000000E+34      0.446369704591E+13     -0.295914767788E+14     -0.196346223367E+07     -0.296248956312E+06     -0.196528142537E-01      0.130285678137E+00
     1      0.693795153599E+08      0.198900000000E+34      0.322175658390E+13     -0.297523749172E+14     -0.197413565003E+07     -0.213840092970E+06     -0.141847034684E-01      0.130993327613E+00
     1      0.700102353599E+08      0.198900000000E+34      0.197417306869E+13     -0.298611706216E+14     -0.198135190417E+07     -0.131057148030E+06     -0.869181209799E-02      0.131471595974E+00
     1      0.706409553599E+08      0.198900000000E+34      0.723131292039E+12     -0.299176736151E+14     -0.198509839588E+07     -0.480450806369E+05     -0.318375692116E-02      0.131719649649E+00
     1      0.712716753599E+08      0.198900000000E+34     -0.529177920937E+12     -0.299217851884E+14     -0.198536859965E+07      0.350507512488E+05      0.232981895979E-02      0.131737057962E+00
     1      0.719023953599E+08      0.198900000000E+34     -0.178056154735E+13     -0.298734983714E+14     -0.198216207590E+07      0.118084845242E+06      0.783926298289E-02      0.131523793884E+00
     1      0.725331153599E+08      0.198900000000E+34     -0.302882820585E+13     -0.297728979438E+14     -0.197548447168E+07      0.200911809166E+06      0.133349300059E-01      0.131080234061E+00
     1      0.731638353599E+08      0.198900000000E+34     -0.427179199292E+13     -0.296201602855E+14     -0.196534751067E+07      0.283386615484E+06      0.188071991727E-01      0.130407158153E+00
     1      0.737945553599E+08      0.198900000000E+34     -0.550727630967E+13     -0.294155530668E+14     -0.195176897251E+07      0.365364855099E+06      0.242464907362E-01      0.129505747457E+00
     1      0.744252753599E+08      0.198900000000E+34     -0.673311767209E+13     -0.291594347779E+14     -0.193477266165E+07      0.446702990047E+06      0.296432828099E-01      0.128377582837E+00
     1      0.750559953599E+08      0.198900000000E+34     -0.794716949847E+13     -0.288522541011E+14     -0.191438836554E+07      0.527258604689E+06      0.349881280181E-01      0.127024641955E+00
     1      0.756867153599E+08      0.198900000000E+34     -0.914730586706E+13     -0.284945491236E+14     -0.189065180246E+07      0.606890654910E+06      0.402716700150E-01      0.125449295805E+00
     1      0.763174353599E+08      0.198900000000E+34     -0.103314252376E+14     -0.280869463947E+14     -0.186360455896E+07      0.685459714939E+06      0.454846598463E-01      0.123654304561E+00
     1      0.769481553599E+08      0.198900000000E+34     -0.114974541301E+14     -0.276301598282E+14     -0.183329401694E+07      0.762828221323E+06      0.506179721219E-01      0.121642812755E+00
     1      0.775788753599E+08      0.198900000000E+34     -0.126433507544E+14     -0.271249894515E+14     -0.179977327076E+07      0.838860713647E+06      0.556626209738E-01      0.119418343767E+00
     1      0.782095953599E+08      0.198900000000E+34     -0.137671085847E+14     -0.265723200044E+14     -0.176310103420E+07      0.913424071577E+06      0.606097757705E-01      0.116984793667E+00
